student,signal,top1_agreement,kl_divergence,token_f1,ground_truth_perplexity,rouge_l,bertscore_f1
qwen0_5b,logit,0.7703403509616852,0.3488420324444771,0.3341741260059279,5.52333151787752,0.2659732335665206,0.8732547760009766
qwen0_5b,sequence,0.6256449181109667,1.2701776017844677,0.2702153048980392,9.072046842331927,0.2073185917267208,0.8608312010765076
qwen1_5b,sequence,0.6826215250462294,1.477445924410224,0.3134109955578186,9.964833950894826,0.2467990428834784,0.8657190799713135
qwen3b,sequence,0.7283788982331753,0.5962208936467767,0.3053906254035711,6.3327927870032354,0.2410501234015838,0.8629534840583801
qwen1_5b,logit,0.7857514133632183,0.24772626757249236,0.35138149224432585,4.4776048624373495,0.27901356625457513,0.8797995448112488
qwen3b,logit,0.7862772985339165,0.2862989197984338,0.3404344169159372,4.181561512626487,0.26949735168462713,0.8719001412391663
